held_out_animal,model,accuracy_mean,f1_mean,rmse_mean,latency_ms_mean,memory_mb_mean
10,LSTM,0.8336208393632417,0.7954221086877064,45079.234375,0.0107592702054791,0.4500923156738281
10,Transformer,0.842767004341534,0.8065001760426299,37834.09765625,0.019293498951408,1.145526885986328
10,KF,,,1758.4479017370245,0.0194465527526613,0.0
10,EKF-HMM,,,1967.200850599108,0.0197314165664672,0.0
11,STA-LSTM-H,0.9937018813314038,0.987619603719597,34837.0,0.0125330834489116,0.7258491516113281
11,STA-LSTM,0.9928798842257598,0.9869546454372568,32498.30078125,0.0123580186513243,0.7258491516113281
11,XGBoost,0.8142170767004342,0.7147657583020476,,0.0020744744769139,4.242247581481934
11,1D-CNN,0.7578465991316932,0.6929367166996503,36483.5234375,0.0096053577657632,0.1528511047363281
11,LSTM,0.7494761215629523,0.6812750365525441,31935.951171875,0.010229171380433,0.4500923156738281
11,Transformer,0.7731403762662807,0.6997237995116109,28886.166015625,0.0135334558493839,1.145526885986328
11,GRU,0.7068133140376266,0.6534698489992026,35121.73046875,0.0097206871775983,0.3380317687988281
11,KF,,,1979.140712592338,0.0183991095571416,0.0
11,EKF-HMM,,,2230.987539769593,0.019011647838091,0.0
12,STA-LSTM-H,0.9933892908827786,0.9914844050517364,29723.453125,0.0125032426511758,0.7258491516113281
12,STA-LSTM,0.9930998552821996,0.9911760442725028,30197.58203125,0.0124805693308433,0.7258491516113281
12,1D-CNN,0.8504544138929089,0.8238279249597961,29357.515625,0.0099396222161854,0.1528511047363281
12,XGBoost,0.8606193921852388,0.8276210737635977,,0.0030993691115881,4.246460914611816
12,GRU,0.8423386396526773,0.8193628198789881,33260.65625,0.010036771820505,0.3380317687988281
12,LSTM,0.8312706222865412,0.8075745508736962,32040.578125,0.0145267574871349,0.4500923156738281
12,Transformer,0.8482894356005789,0.8235822838931895,28629.015625,0.0135625043018638,1.145526885986328
12,KF,,,2030.424347392512,0.0188730673813267,0.0
12,EKF-HMM,,,2273.7269973453767,0.0192292195889025,0.0
13,STA-LSTM,0.994327062228654,0.9919158633316426,65998.9140625,0.0124981126717026,0.7258491516113281
13,STA-LSTM-H,0.9942691751085384,0.9918132871704048,75284.7421875,0.0124796999715451,0.7258491516113281
13,XGBoost,0.8383791606367583,0.7554682098913905,,0.0020677482604161,4.250547409057617
13,1D-CNN,0.8117163531114328,0.7404173222407188,83711.40625,0.009664769169865,0.1528511047363281
13,GRU,0.8115658465991317,0.7663826122275522,79830.6953125,0.0097849611934225,0.3380317687988281
13,LSTM,0.8061476121562953,0.7505914590147648,76527.5,0.0103062633290218,0.4500923156738281
13,Transformer,0.8152590448625181,0.7655043509590191,77208.3515625,0.0134577225009585,1.145526885986328
13,KF,,,4183.529914901925,0.018238053070826,0.0
13,EKF-HMM,,,4677.402974611483,0.0186403686256187,0.0
14,STA-LSTM,0.9945238784370476,0.9926303834246464,42583.59765625,0.0125440506968113,0.7258491516113281
14,STA-LSTM-H,0.9942923299565848,0.9922993053285092,44430.81640625,0.0125817753867867,0.7258491516113281
14,1D-CNN,0.8257481910274964,0.7742634237799776,42635.375,0.0098230515535268,0.1528511047363281
14,XGBoost,0.8309811866859623,0.760603800398666,,0.0032579238673432,4.246655464172363
14,GRU,0.8099913169319827,0.7550717096717868,44238.79296875,0.0101567120351943,0.3380317687988281
14,LSTM,0.7978350217076701,0.740052510400743,50045.9375,0.0106382711322819,0.4500923156738281
14,Transformer,0.8313748191027497,0.7823553366164302,43689.1484375,0.0141145501355876,1.145526885986328
14,KF,,,2828.693942135062,0.0184144857076742,0.0
14,EKF-HMM,,,3195.712192530017,0.0186982531054686,0.0
15,STA-LSTM,0.9930998552821996,0.9909136752899804,77372.2578125,0.0125359507390822,0.7258491516113281
15,STA-LSTM-H,0.992,0.9897930859287204,74287.875,0.01248904372742,0.7258491516113281
15,1D-CNN,0.8152127351664255,0.7861715680752633,73395.015625,0.009762836040662,0.1528511047363281
15,XGBoost,0.832590448625181,0.8009955563148607,,0.0020904677384971,4.241339683532715
15,GRU,0.8058697539797395,0.7801866049896772,74983.53125,0.009772665805403,0.3380317687988281
15,LSTM,0.7651287988422576,0.7350232317811223,81347.5234375,0.0103181331403628,0.4500923156738281
15,Transformer,0.787589001447178,0.760571088063028,84150.4765625,0.0136102606190635,1.145526885986328
15,KF,,,4878.614206779752,0.0182782693950704,0.0
15,EKF-HMM,,,5458.881464336787,0.0187315449506777,0.0
