animal,n_windows,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,composite_score,rank,total_time_s
04,86400,STA-LSTM-H + bp_lag1,0.9862923299565848,0.0012492893508738,0.9813188203759716,0.0016955547979599,4921.881640625,111.24248998586242,0.0126016525856277,0.9206724846472542,5,5474.44
04,86400,STA-LSTM + bp_lag1,0.9854819102749636,0.001632129379098,0.980202697904945,0.0022519727560352,4958.53056640625,50.21749608561568,0.0126546894816086,0.9196864154801202,6,5474.44
04,86400,Transformer + bp,0.9932156295224314,0.0012562438693654,0.9907941477199944,0.0016093059681675,5424.9109375,85.14500071095527,0.013751704775487,0.902468379340895,7,5474.44
04,86400,Transformer + bp_lag1,0.986697539797395,0.0010128757384937,0.9818988120987336,0.0015608937214474,5531.3521484375,107.2640957914456,0.0138230367689009,0.8968422205904607,8,5474.44
04,86400,STA-LSTM (accel),0.942657018813314,0.0063096004984858,0.9307648785868246,0.0070405792132091,4956.3076171875,59.1105030062097,0.012690309013271,0.885096258398712,9,5474.44
04,86400,STA-LSTM-H (accel),0.937806078147612,0.0088720089909649,0.9248490220035916,0.0105612512889975,4965.85634765625,89.74607891846908,0.0127115908999389,0.8810567826245717,10,5474.44
05,86400,GRU + bp,0.9933545586107092,0.0006714905933429,0.9913497183403784,0.0009070846332928,8788.369921875,318.0753909199093,0.0098136638704951,0.9998415250879767,1,5363.26
05,86400,GRU + bp_lag1,0.985643994211288,0.0019167543493094,0.9811296886140448,0.0026593781121777,8868.2546875,167.16151734958058,0.0098359465461585,0.9934064940807869,2,5363.26
05,86400,LSTM + bp,0.993342981186686,0.000583483793614,0.9913534854614726,0.0007607780404048,8866.0333984375,260.9247927780476,0.0103325533320758,0.9699127434963896,3,5363.26
05,86400,LSTM + bp_lag1,0.9856324167872648,0.0012784537899601,0.9811754852968406,0.0017378928955719,9024.5306640625,167.5947590443232,0.0103161259393939,0.9638554988512494,4,5363.26
05,86400,STA-LSTM + bp_lag1,0.9862923299565848,0.0014549832927928,0.9821777718716398,0.0019580991566799,9492.369921875,403.3983692159868,0.0123999505054459,0.9200197232396328,5,5363.26
05,86400,STA-LSTM-H + bp_lag1,0.986234442836469,0.000711234618971,0.9821251927554556,0.0009658473541541,9637.9787109375,558.0584621384274,0.0124263985988221,0.9198046671211374,6,5363.26
05,86400,STA-LSTM (accel),0.9646772793053546,0.0022363915529269,0.9578262284061524,0.0022804998569536,9329.683203125,325.8013724140699,0.0124626484997408,0.9023433510174784,7,5363.26
05,86400,Transformer + bp,0.9935513748191028,0.00058531865284,0.99152087387871,0.0008366990478147,11463.3189453125,377.6735743984538,0.0135016530811484,0.9022770451798096,8,5363.26
05,86400,STA-LSTM-H (accel),0.960069464544139,0.0021035895906406,0.951823368250597,0.0027577383519273,9329.51328125,177.67283630900073,0.012512271725148,0.8983208753407624,9,5363.26
05,86400,Transformer + bp_lag1,0.9872301013024604,0.000792525202437,0.9832725073356904,0.0010264340806127,11075.10859375,262.9112944658439,0.0134659873216524,0.8973797157563609,10,5363.26
06,86400,GRU + bp,0.9924862518089724,0.000685320918643,0.9913367567676824,0.0007723610743335,6412.25654296875,182.5335861201808,0.0100439997112267,1.0,1,5491.67
06,86400,GRU + bp_lag1,0.982958031837916,0.0023384103855179,0.9803181539575114,0.0025921965297682,6408.685546875,299.30272121549774,0.0100790311416608,0.9919721488662502,2,5491.67
06,86400,LSTM + bp,0.9921736613603472,0.0007452840261386,0.9909950609590654,0.0009080562217505,6501.05947265625,224.8041476213669,0.0104861986094225,0.9706335039601466,3,5491.67
06,86400,LSTM + bp_lag1,0.9836642547033284,0.001185993938915,0.9814061378745844,0.0011972168402209,6732.49697265625,66.64704876394707,0.011374439164058,0.9562946545800298,4,5491.67
06,86400,STA-LSTM + bp_lag1,0.9840578871201158,0.0015694136685689,0.9816509005874596,0.0016559967929472,7410.26845703125,134.02002406262545,0.0126420448853616,0.9193773160536518,5,5491.67
06,86400,STA-LSTM-H + bp_lag1,0.9847641099855282,0.0016255461945429,0.9824146879531112,0.0018073739200027,7142.04814453125,341.46899018020963,0.0127810451152226,0.91908252230564,6,5491.67
06,86400,Transformer + bp,0.99178002894356,0.0010636118393383,0.9904797745501056,0.0012783599581477,9159.5693359375,211.33365801426268,0.0137737170225696,0.901944373714182,7,5491.67
06,86400,Transformer + bp_lag1,0.9852387843704776,0.0015541371178743,0.9829170944322794,0.0016963374397999,9348.0560546875,299.5533607841974,0.0137573645171182,0.8967584381153296,8,5491.67
06,86400,STA-LSTM (accel),0.9483878437047756,0.0050759578141582,0.944152291525923,0.0056019795890578,7267.0087890625,131.64262619426307,0.0127196794311083,0.8902663867039918,9,5491.67
06,86400,STA-LSTM-H (accel),0.9479247467438494,0.0035735815519318,0.9431124527457426,0.0042893611691791,7326.32021484375,94.2129208273319,0.0127338911049531,0.8898049762415227,10,5491.67
07,86400,GRU + bp,0.9931577424023156,0.0010467169484036,0.992180971284701,0.001213933615512,17912.37109375,338.39392624718295,0.0098785241343372,0.9996994786627924,1,5400.15
07,86400,GRU + bp_lag1,0.985863965267728,0.0010562773698831,0.983913683756629,0.0011032767610804,18035.044140625,736.3138868417835,0.0098525218749162,0.994087751200634,2,5400.15
07,86400,LSTM + bp,0.9927293777134588,0.0010532274769823,0.9917654438130948,0.0012380732640211,19227.870703125,425.405967727934,0.0103895503922477,0.96955116326821,3,5400.15
07,86400,LSTM + bp_lag1,0.9853661360347324,0.0007380551062464,0.983307670544858,0.0008590100675628,19730.673046875,543.7088022605286,0.0103664057067825,0.9638319896187216,4,5400.15
07,86400,STA-LSTM + bp_lag1,0.9858292329956584,0.0006439795767373,0.9838802961743646,0.0007846555641906,20437.591015625,1235.529523760012,0.0124288359387372,0.9200531370919444,5,5400.15
07,86400,STA-LSTM-H + bp_lag1,0.9855397973950796,0.0009155685751556,0.9834644298128868,0.0010190745022221,20573.791015625,892.5205005887833,0.0124242332509237,0.9198493712049786,6,5400.15
07,86400,Transformer + bp,0.993204052098408,0.0009309573600219,0.9922575248234814,0.0010890731250357,26054.339453125,621.6099305544071,0.0135353720988188,0.902383059022418,7,5400.15
