animal,n_windows,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,composite_score,rank,total_time_s
13,86400,STA-LSTM-H,0.9930767004341534,0.0013096313278035,0.9903096603437036,0.0018527118526691,19084.99453125,274.31666149084776,0.0340879174210832,0.91158119271204,3.0,2970.33
13,86400,GRU,0.9353863965267728,0.0033752509944493,0.9185070758631124,0.0045918493043324,18885.660546875,386.485103422553,0.0694121872270331,0.8852674561399386,4.0,2970.33
13,86400,Transformer,0.888602026049204,0.0067997632386903,0.8567881380553668,0.0075698333299528,21049.497265625,386.4859610483457,0.0501320542910509,0.7894631255164402,5.0,2970.33
13,86400,KF,,,,,4182.712410634305,0.0157941979172573,0.0187562819780558,,,2970.33
13,86400,EKF-HMM,,,,,4686.149434883031,1.591284134732029,0.0191711898995549,,,2970.33
14,86400,STA-LSTM,0.9939218523878438,0.0003063098478801,0.9919412916206308,0.0003500532326561,15291.672265625,155.0594689999427,0.0338444672187981,0.9122677118784606,1.0,2843.21
14,86400,STA-LSTM-H,0.9936671490593344,0.0004987706912541,0.9916412855041148,0.0005360213982396,15156.034765625,357.5538017665095,0.0343300948187698,0.911133362084266,2.0,2843.21
14,86400,LSTM,0.9033632416787264,0.0079395809695927,0.8842697024497272,0.0082396640551984,14486.06953125,469.5545523439775,0.0222348624950897,0.9022128395304196,3.0,2843.21
14,86400,GRU,0.90572503617945,0.0073614211039671,0.8882818358726835,0.0084908306408586,14553.76328125,256.74220150864795,0.0681159230213283,0.8616537453928717,4.0,2843.21
14,86400,Transformer,0.8605846599131695,0.0101479010924561,0.8306461767930917,0.0112395275965619,16799.03359375,345.252679577483,0.0518601649560778,0.7650614196610788,5.0,2843.21
14,86400,KF,,,,,2838.878381712705,0.0062157233581539,0.0191251173610064,,,2843.21
14,86400,EKF-HMM,,,,,3209.7312572885603,1.234052816632306,0.0194146205723695,,,2843.21
15,86400,LSTM,0.9450882778581766,0.0069228349044733,0.9337984225414184,0.0084949893108819,26495.038671875,583.719323892128,0.0218794651372646,0.9366130602324608,1.0,2851.21
15,86400,STA-LSTM,0.9924862518089724,0.0005447544014364,0.9903752070501708,0.0007215740014659,27883.1671875,756.2847955061357,0.0351440417977904,0.9085285536889496,2.0,2851.21
15,86400,STA-LSTM-H,0.9928567293777132,0.0003672069818154,0.9906403805926642,0.0005176196770044,28025.24140625,624.0947791337306,0.035602116571839,0.9080260440689296,3.0,2851.21
15,86400,GRU,0.94983502170767,0.0046246845918078,0.9394881677445494,0.0061900164478432,26090.726171875,333.6301176508913,0.0639255342711243,0.899561500196992,4.0,2851.21
15,86400,Transformer,0.8764225759768453,0.0093816718164923,0.8531329774448103,0.0089061587094363,30425.72890625,322.5550407894505,0.0547858187942273,0.7756277259949987,5.0,2851.21
15,86400,KF,,,,,4849.905620386986,0.0230478299732527,0.019054405245655,,,2851.21
15,86400,EKF-HMM,,,,,5426.426042542375,1.7404524953384064,0.0193809129987801,,,2851.21
16,86400,STA-LSTM-H,0.9926483357452968,0.000896035777523,0.9896219184997525,0.0011904604658863,13851.177734375,556.2914740730421,0.0348003913510952,0.9136152430580466,1.0,2787.05
16,86400,STA-LSTM,0.99243994211288,0.0009061507116341,0.9893642124138876,0.0012683408537586,13832.5759765625,255.10718709271364,0.0352311337766993,0.9126275922043176,2.0,2787.05
16,86400,LSTM,0.8844920405209841,0.0070509839068512,0.8579803458696581,0.0080191098951425,13695.0970703125,100.73670582413877,0.0233318238719952,0.8879369135720395,3.0,2787.05
16,86400,GRU,0.8933719247467439,0.0101440303158322,0.8682747219209848,0.0112627209102233,13348.90625,217.50263185596876,0.0593795524990959,0.8592833601144312,4.0,2787.05
16,86400,Transformer,0.8266743849493488,0.0115088213475242,0.7865112158050709,0.0090362322366512,15863.436328125,150.5334405004685,0.0560307937604139,0.7373873817041618,5.0,2787.05
16,86400,KF,,,,,2310.1467353737107,0.002591186302238,0.0193048891915997,,,2787.05
16,86400,EKF-HMM,,,,,2608.924850936105,0.9318496188216572,0.0196264996355084,,,2787.05
17,86400,STA-LSTM,0.9917337192474674,0.0011899429378898,0.9877321990604256,0.0017722765104893,18524.081640625,227.88187229894604,0.035440448231526,0.9094376568890988,1.0,2787.24
